seat,bioguide,party,name,BLUF
UT-4,O000086,R,Burgess Owens,"A former NFL safety, Owens legislates on a conservative platform that promotes national security, trade, and health care reform"
VA-1,W000804,R,Rob Wittman,"A longtime Virginia public servant, Wittman is a conservative dedicated to naval readiness and conservation of the Chesapeake Bay"
VA-2,K000399,R,Jennifer A. Kiggans,"Military veteran and geriatric care provider currently serving in the Virginia state Senate; state and congressional platforms focus on health, veterans, and election policy"
VA-3,S000185,D,Bobby Scott,Career legislator and staunch liberal; civil rights background informs his belief in the power of government to protect marginalized groups and affect positive change
VA-4,M001227,D,Jennifer McClellan,"Longtime state legislator McClellan won the special election to represent for Virginia's Richmond-based district, a seat formerly held by the late Rep. McEachin (D-VA-4)"
VA-5,M001239,R,John McGuire,Veteran and business owner takes his public service experience to Congress
VA-6,C001118,R,Ben Cline,"A lawyer and experienced local and state officeholder who represents a rural western Virginia district, Cline prioritizes reforming government operations and pursuing policies favorable to small businesses "
VA-7,V000138,D,Eugene Vindman,National security expert and former army officer will continue public service career with the 119th Congress
VA-8,B001292,D,Don Beyer,"A former businessman, lieutenant governor, and ambassador with deep ties to state and national Democratic leaders, Beyer has emerged as top Democratic advocate for tax-based climate change policies"
VA-9,G000568,R,Morgan Griffith,"An Appalachian Republican who held state leadership roles, Griffith focuses on energy and health care policy in the House"
VA-10,S001230,D,Suhas Subramanyam,"Former Obama administration adviser and Virginia state senator, Subramanyam replaced Rep. Jennifer Wexton in the 119th Congress"
VA-11,C001078,D,Gerry Connolly,Established local government official who has shifted his government operations focus to the federal level since election to Congress; emphasizes streamlining government's behind-the-scenes mechanics as well as advocating for federal employees
VT-AL,B001318,D,Becca Balint,Balint was a progressive leader in Vermont's state legislature before joining Congress in 2022
WA-1,D000617,D,Suzan DelBene,Former Microsoft executive who garnered the support of Democratic party leadership while running for a competitive seat; focuses on fiscal responsibility and health care reform
WA-2,L000560,D,Rick Larsen,"Centrist Democrat with a long tenure in Congress leads in aviation policy and strongly supports of trade, particularly with China"
WA-3,G000600,D,Marie Gluesenkamp Pérez,"A small business owner, Gluesenkamp Perez looks to protect reproductive rights, bolster domestic manufacturing, and advocate for the working class in Congress"
WA-4,N000189,R,Dan Newhouse,Sophomore representative with a lifelong devotion to the farm industry; prioritizes energy and trade legislation
WA-5,B001322,R,Michael Baumgartner,"A former state senator and diplomat, Baumgartner is running to represent Washington's 5th Congressional District"
WA-6,R000621,D,Emily Randall,"Experienced state Senator, Emily Randall is running to represent Washington's 6th Congressional District "
WA-7,J000298,D,Pramila Jayapal,"A progressive leader and Pelosi-described ""rising star"" in the Democratic party, Jayapal often collaborates with Sen. Bernie Sanders to introduce progressive policies in the House and Senate; vocal on issues concerning immigration, health care, and education"
WA-8,S001216,D,Kim Schrier,"Worked as a doctor before Congress, Schrier leverages her expertise to shape policy on health and children's wellbeing"
WA-9,S000510,D,Adam Smith,Military-focused member whose key committee position gives him influence over defense spending and priorities
WA-10,S001159,D,Marilyn Strickland,"Former mayor of Tacoma who helped rebuild the city after the 2007-2008 financial crisis and now aims to tackle economic recession with a role in Congress; passionate about modernizing infrastructure and the workforce, arguing for equitable policies "
WI-1,S001213,R,Bryan Steil,Steil is an attorney who worked for manufacturers; began his career as a Paul Ryan Republican
WI-2,P000607,D,Mark Pocan,Wisconsin entrepreneur representing a long-held progressive district; co-chair of the progressive caucus and leading LGBTQ+ rights advocate in Congress
WI-3,V000135,R,Derrick Van Orden,Retired Navy SEAL won a close race in 2024 to hold House seat
WI-4,M001160,D,Gwen Moore,"Milwaukee native who works to empower disadvantaged communities through progressive economic, health, and education policy"
WI-5,F000471,R,Scott L. Fitzgerald,Former Wisconsin state senator who oversaw some of the state's conservative reforms after the 2010 Tea party wave; elected to Congress in 2020
WI-6,G000576,R,Glenn Grothman,"Longtime voice in Wisconsin politics, Grothman is one of the most partisan voters in Congress"
WI-7,T000165,R,Tom Tiffany,Wisconsin entrepreneur and former state legislator pushes for deregulation and lowering government spending
WI-8,W000829,R,Tony Wied,Former gas station owner with Trump endorsement seeks to bring outsider's perspective to Congress
WV-1,M001205,R,Carol Miller,"A bison farmer with extensive political experience, Miller represents a solidly pro-Trump district where she found a niche in transportation and infrastructure "
WV-2,M001235,R,Riley Moore,West Virginia native with experience in national security and state legislation aims to expand the economic opportunities of West Virginia and protect individual freedoms
WY-AL,H001096,R,Harriet Hageman,"A Wyoming lawyer opposed to federal land, water, and environmental regulations, Hageman prioritized her Trump endorsement in her campaign to unseat Rep. Liz Cheney"
AQ-AL,R000600,R,Amata Radewagen,"A longtime Republican National Committee member from a prominent American Samoa political family, Radewagen uses her role as a non-voting member of Congress to grow the Samoan economy"
DC-AL,N000147,D,Eleanor Holmes Norton,"A constitutional lawyer, feminist, and civil rights advocate with over thirty years of experience representing Washington, DC, Norton focuses her efforts on DC statehood and bringing economic opportunity to the district"
GU-AL,M001219,R,,
MP-AL,K000404,R,,
VI-AL,P000610,D,Stacey Plaskett,"A New York native with over two decades of experience practicing law in the public and private sectors, Plaskett prioritizes education and economic policies in Congress as the delegate from the Virgin Islands"
AK-II,S001198,R,Dan Sullivan,"An attorney and economic policy expert, Sullivan has emphasized Alaska's importance to US national security and federal deregulation"
AK-III,M001153,R,Lisa Murkowski,Alaska attorney and state legislator turned consensus-minded US senator recognized for her influential vote
AL-II,T000278,R,Tommy Tuberville,"A retired college football coach well-known in Alabama for his time at Auburn University; sticking closely to former President Trump, he defeated former Attorney General Jeff Sessions and Sen. Doug Jones to represent Alabama in the Senate"
AL-III,B001319,R,Katie Britt,Former CEO of the Business Council of Alabama and congressional chief of staff ran to replace her previous boss in the US Senate; campaigned on a platform of conservative and business values
AR-II,C001095,R,Tom Cotton,"Harvard-educated lawyer who served in Iraq and Afghanistan as an Army officer; since 2013, he has risen through the GOP ranks to become a leading spokesman for the party's immigration and foreign policy agenda "
AR-III,B001236,R,John Boozman,"Former optometrist and cattle rancher who advocates for Arkansas' agricultural sector, veterans, and rural communities"
AZ-I,G000574,D,Ruben Gallego,"Veteran and first-generation immigrant focusing on Native American affairs, veterans affairs, national security, and natural resource preservation"
AZ-III,K000377,D,Mark Kelly,"A retired US Navy Captain, astronaut, and engineer, Kelly served his country for over thirty years prior to joining the Senate"
CA-I,S001150,D,Adam Schiff,"Former prosecutor who has served in Congress for two decades; known for his involvement in foreign affairs, as well as in the impeachment inquiry of President Trump"
CA-III,P000145,D,Alex Padilla,"Climbed California's political ladder, and shaped the state's climate policy, public health regulations, and elections"
CO-II,H000273,D,John Hickenlooper,"Former governor, mayor, and brewpub entrepreneur known for practical approach to health, environmental issues, and economic growth"
CO-III,B001267,D,Michael Bennet,"Former superintendent of Denver public schools seeks to advance educational outcomes, address immigration problems, and reform the technology policy apparatus"
CT-I,M001169,D,Chris Murphy,Center-left Connecticut lawmaker rose rapidly through state and national politics to become a Democratic leader on guns and foreign policy
CT-III,B001277,D,Richard Blumenthal,"After an early career spanning multiple DC institutions, Blumenthal gained national attention with high-profile lawsuits as Connecticut's attorney general; in the Senate, he strongly advocates for consumer protection laws"
DE-I,B001303,D,Lisa Blunt Rochester,"Delaware's first woman and first African-American to represent the state in the U.S. House of Representatives, Blunt Rochester draws on local government experience to push for labor, health, and criminal justice reform"
DE-II,C001088,D,Chris Coons,Moderate Senator working to maintain Delaware's legacy of bipartisanship in the Senate; close ally of President Biden on domestic policy and key leader on development issues
FL-I,S001217,R,Rick Scott,"Self-made hospital executive who upended the Florida political establishment by winning the governorship in 2010; as chair of the NRSC, Scott is promoting an agenda he believes will propel Republicans into the Senate majority"
FL-III,M001244,R,Ashley Moody,"Lifelong Florida resident, Moody will replace Sen. Marco Rubio in Congress"
GA-II,O000174,D,Jon Ossoff,Former investigative journalist and effective fundraiser whose political career has centered around underdog campaigns in the once-red-leaning Georgia; liberal platform is focused on benefits for Georgia workers through health care and infrastructure
GA-III,W000790,D,Raphael Warnock,"The leader of a historic Atlanta church, Warnock is a progressive advocate for health care access, voting rights, and criminal justice reform"
HI-I,H001042,D,Mazie Hirono,"Liberal attorney and fixture of Hawaiian politics is a prominent voice for Hawaiians, Asian Americans, veterans, and women"
HI-III,S001194,D,Brian Schatz,"Schatz's progressive policy agenda focuses on growing Democratic coalitions while striving for bipartisan support on issues like health care, climate change, and technology"
IA-II,E000295,R,Joni Ernst,An Army veteran and proponent of limited government from rural Iowa has swiftly risen to prominence within the Republican Party
IA-III,G000386,R,Chuck Grassley,"A veteran and senior senator, Grassley has been known for championing bipartisan legislation and government oversight throughout his long career"
ID-II,R000584,R,Jim Risch,"Self-made millionaire and cattle rancher with four decades of experience in elected office; promotes US interests abroad, energy development, and small business growth"
ID-III,C000880,R,Mike Crapo,"Social conservative with a strong bipartisan streak on health, energy, and education issues; a former Banking Committee chair and the top Republican on the Finance Committee, he wields significant clout on banking and finance issues"
IL-II,D000563,D,Dick Durbin,Longtime Illinois senator focuses on judicial reform in Democratic leadership
IL-III,D000622,D,Tammy Duckworth,"Purple Heart veteran and former Department of Veterans Affairs official who has a record of advancing veterans' interests, women's rights, and clean air and water in Congress"
IN-I,B001299,R,Jim Banks,"Former state legislator from Indiana who enlisted in the Navy Reserve and, in Congress, focuses on restoring the strength of the military and supporting veterans"
IN-III,Y000064,R,Todd Young,"A former marine who capitalized off Tea Party momentum in 2010, Young has since earned a reputation as a Republican able to broker bipartisan partnerships "
KS-II,M001198,R,Roger Marshall,"A physician-turned-politician, Marshall advocates for health care reform and agricultural policy that supports farmers and his predominantly rural state"
KS-III,M000934,R,Jerry Moran,"Product of rural Kansas who presents himself as an independent-minded conservative; champions the agricultural economy, rural health, and entrepreneurship"
KY-II,M000355,R,Mitch McConnell,"A seven-term Senator and entrenched leader of the Republican caucus, McConnell has served as the chief foil to two Democratic presidents; worked with President Trump to pass tax cuts and confirm a record number of judges to the federal judiciary "
KY-III,P000603,R,Rand Paul,"Constitutional conservative and Tea Party favorite who left his ophthalmology practice to lead the libertarian faction of the Republican Party; champions small-government, free-market, and non-interventionist approaches"
LA-II,C001075,R,Bill Cassidy,"A gastroenterologist, Cassidy has focused on health policy throughout a political career that began in the Louisiana Senate"
LA-III,K000393,R,John Kennedy,Democrat-turned Republican who wields colorful turns of phrase to secure disaster relief and promote a Trump brand of conservatism
MA-I,W000817,D,Elizabeth Warren,A former Harvard law professor who specialized in bankruptcy research; became a prominent pro-consumer voice during her academic career and is now a leading advocate for progressive policies in the Democratic Party
MA-II,M000133,D,Ed Markey,Experienced politician with a progressive voting record throughout his 50-year career in public office; leader on tech and climate policy in the Senate
MD-I,A000382,D,Angela Alsobrooks,County Executive for Prince George's County will face former governor Larry Hogan (R) in a race to replace retiring Senator Ben Cardin (D)
MD-III,V000128,D,Chris Van Hollen,Longtime Maryland politician whose international upbringing paved the way for his focus on foreign policy; also pushes for gun control and fiscal policy reform using his congressional leadership ties
ME-I,K000383,I,Angus King,"Independent senator bridges ideological gaps by advocating for bipartisan solutions to health care, security, and environmental issues"
ME-II,C001035,R,Susan Collins,"A key swing vote, Collins looks to core New England values when voting on highly divisive issues, balancing independent streak with maintaining relationships with party leadership"
MI-I,S001208,D,Elissa Slotkin,Intelligence and national security expert with extensive Middle East policy experience who is passionate about affordable health care and improving veterans' benefits
MI-II,P000595,D,Gary Peters,"Centrist who blends progressive social views with a pro-business outlook, focused on advancing Michigan's economy through high-tech industries; heads the DSCC while Democrats strive to defend several key incumbents in 2024"
MN-I,K000367,D,Amy Klobuchar,"Former attorney who quickly rose from a county-level Minnesota prosecutor to a US senator; known for her legislative efforts on bipartisan policies related to agriculture, health care, antitrust enforcement, renewable fuels, and human trafficking"
MN-II,S001203,D,Tina Smith,"Behind-the-scenes political pro with a consulting background who made her legislative debut in her 2017 Senate appointment; advocates for expanded access to health, education, and work opportunities"
MO-I,H001089,R,Josh Hawley,"A first-term Senator with strong conservative legal credentials, Hawley is an outspoken opponent of ""big tech"" and China; one of former President Trump's most fervent supporters, he faced backlash after leading congressional objections to President Biden's election "
MO-III,S001227,R,Eric Schmitt,"Longtime public official who has consistently focused on cutting taxes; became attorney general in Missouri in 2019, and worked to advance a number of conservative priorities before winning Missouri's Senate race in 2022"
MS-I,W000437,R,Roger Wicker,"A traditional conservative with a long history in Mississippi politics and Republican party leadership, Wicker balances partisan loyalties with bipartisan collaboration on issues such as privacy and disease eradication"
MS-II,H001079,R,Cindy Hyde-Smith,"A lifelong Mississippian with a background in agriculture policy, Hyde-Smith focuses on protections for farmers in rural communities; once a Democrat, she is now known for her strong conservative views"
MT-I,S001232,R,Tim Sheehy,Decorated US Naval Academy graduate and Montana businessman
MT-II,D000618,R,Steve Daines,"Former businessman pursuing policy victories to benefit his rural, western state; Senate tenure marked by support for Montana's industry combined with his passion for conservation"
NC-II,T000476,R,Thom Tillis,"Business-focused conservative whose rapid rise in politics was preceded by a successful private sector career; since 2014, he has won two close elections to the Senate in a swing state"
NC-III,B001305,R,Ted Budd,"Elected in 2016 as a first-time political figure, Budd prioritized deregulating the financial sector and improving health care; in 2022, he ran on his conservative record in the race for North Carolina's open Senate seat"
ND-I,C001096,R,Kevin Cramer,North Dakota native and Republican operative at the state and federal level
ND-III,H001061,R,John Hoeven,"A former banker and governor of North Dakota, Hoeven focuses primarily on agricultural and energy policy "
NE-I,F000463,R,Deb Fischer,"A cattle rancher who was involved in her rural Nebraska community before running for office, Fischer has maintained her local connections and established an influential Republican network"
NE-II,R000618,R,Pete Ricketts,Nebraska Senator and businessman whose wealth and support of the Trump administration propelled him to the national stage
NH-II,S001181,D,Jeanne Shaheen,"After beginning her career in behind-the-scenes political roles, Shaheen was elected as governor and senator for New Hampshire"
NH-III,H001076,D,Maggie Hassan,"Attorney who ascended the hierarchy of New Hampshire Democratic politics, championing the personal causes of disability rights and accessible education"
NJ-I,K000394,D,Andy Kim,"Former foreign affairs officer for the Obama administration, Kim joined Congress in 2018 and has focused on health care, small businesses, and coastal resilience"
NJ-II,B001288,D,Cory Booker,"Dedicated activist, intellectual, and coalition builder who forges connections across the aisle, Booker focuses on the needs of underserved communities through humanitarian reforms "
NM-I,H001046,D,Martin Heinrich,Engineer and environmentalist who focuses on conserving public lands and driving technological innovation in energy and national security
NM-II,L000570,D,Ben Ray Lujan,"Former state government official who rose quickly through the ranks into House leadership, taking a pro-environmental, pro-immigration agenda to the forefront of the party; since 2021, he has represented New Mexico in the Senate"
NV-I,R000608,D,Jacky Rosen,"Computer programmer and synagogue president who rose to the US Senate after one term in the House; focuses on technological innovation, health, and renewable energy"
NV-III,C001113,D,Catherine Cortez Masto,"A former Nevada attorney general with deep in-state political connections, Cortez Masto has focused on natural resource, energy, and business policy in her first Senate term"
NY-I,G000555,D,Kirsten Gillibrand,"Raised in moderate upstate New York, Gillibrand rose to national prominence in the Senate as an advocate for women, military reform, and food safety"
NY-III,S000148,D,Charles Schumer,Longtime senator maintains connections with all corners of Democratic party
OH-I,M001242,R,Bernie Moreno,Moreno built success as an entrepreneur managing car dealerships in Ohio
OH-III,H001104,R,Jon Husted,A dedicated public servant in Ohio for over two decades before being appointed to the Senate by Ohio Gov. Mike DeWine
OK-II,M001190,R,Markwayne Mullin,"An Oklahoman and member of the Cherokee Nation, focuses on rural communities and native tribes and cutting government spending"
OK-III,L000575,R,James Lankford,Ordained Southern Baptist preacher who views oversight as a key congressional responsibility; promotes cutting government spending and implementing conservative healthcare policies
OR-II,M001176,D,Jeff Merkley,Merkley champions human rights and environmental protections while pushing for diplomacy abroad
OR-III,W000779,D,Ron Wyden,"The second-longest serving Democrat in Congress, Wyden combines strong principles on civil liberties with flexibility and a bipartisan track record on health care"
PA-I,M001243,R,Dave McCormick,Economics centered hedge fund executive who worked in the Bush administration won the Pennsylvania Senate in 2024 race after a defeat in 2022
PA-III,F000479,D,John Fetterman,"Pennsylvania native with a long history of community service and civic leadership; ran for Senate as a progressive, Fetterman hoped his candid style will appeal to Democrats and Republicans"
RI-I,W000802,D,Sheldon Whitehouse,"A former Rhode Island attorney general, Whitehouse seeks to protect the environment and the democratic process, especially through campaign finance reform "
RI-II,R000122,D,Jack Reed,Respected veteran and attorney who champions liberal education and health care reforms; utilizes leadership positions to push for federal policies that impact Rhode Island families and the economy
SC-II,G000359,R,Lindsey Graham,"Longtime politician who climbed quickly through the ranks of the Republican party and became a key voice on immigration, foreign policy, and the judiciary; though a moderate, he emerged as a top ally of President Trump"
SC-III,S001184,R,Tim Scott,"The most high-profile Black Republican in Congress, Scott has nearly 30 years of legislative experience and holds high authority on poverty, education, and race issues"
SD-II,R000605,R,Mike Rounds,"A free-market and social conservative, Rounds is a central figure of South Dakota politics; faced term limits as a state senator and governor, which prompted a move to the Senate "
SD-III,T000250,R,John Thune,"Conservative who balances his GOP leadership role and constituency by prioritizing issues closely connected to agricultural economy, including ethanol production and protections for farmers "
TN-I,B001243,R,Marsha Blackburn,Anti-tax advocate worked way up to Senate
TN-II,H000601,R,Bill Hagerty,"A successful investor and former ambassador who has promoted business-friendly policies and investment in Tennessee, Hagerty won a Senate seat on a pro-Trump platform"
TX-I,C001098,R,Ted Cruz,Constitutional lawyer who briefly served as Bush advisor and appointee before taking several cases to the Supreme Court; entered politics through the Tea Party wave and advocates for hardline conservatism 
TX-II,C001056,R,John Cornyn,"Longtime Senate leader and former judge, who has been leading conservative voice on judiciary issues; uses leadership push for increased border security in addition to trade expansion"
UT-I,C001114,R,John Curtis,"Utah native and former Provo mayor, Curtis' early career in Congress has largely focused on finding bipartisan solutions to land management"
UT-III,L000577,R,Mike Lee,Libertarian policymaker who applies his legal background to advocate for civil liberties and limited government
VA-I,K000384,D,Tim Kaine,Former vice presidential nominee and governor of Virginia now serving in the Senate; leading bipartisan voice on foreign affairs and workforce development
VA-II,W000805,D,Mark Warner,"Centrist Democrat known for strong bipartisan relationships, who has become one of the tech industry's harshest critics in the Senate despite making his fortune as a tech entrepreneur"
VT-I,S000033,I,Bernie Sanders,Consistent Vermont political figure who became a progressive icon in the 2010s; nominal independent with a loyal following exercises enormous influence pressuring the Democratic Party to move left
VT-III,W000800,D,Peter Welch,"With a background in law and advocacy, Welch embraces progressive goals while seeking bipartisan cooperation on energy efficiency and rural broadband"
WA-I,C000127,D,Maria Cantwell,"An Indiana native with a public and private sector background, Cantwell has emerged as a pro-business Democrat and leading voice on coastal management, energy diversification, and Native American affairs"
WA-III,M001111,D,Patty Murray,"A former community college teacher and education activist, Murray has impacted policy areas from education to the budget to trade as a senator; serves in Democratic leadership and chairs the Senate Appropriations Committee in the 118th Congress "
WI-I,B001230,D,Tammy Baldwin,"First elected to federal office over 20 years ago, the progressive Democrat advocates for universal health care and policies for Wisconsin's farmers"
WI-III,J000293,R,Ron Johnson,Head of plastics company for three decades before winning Senate seat; strong individualist principles espoused in policy
WV-I,J000312,R,Jim Justice,"Billionaire businessman, entrepreneur, and coal mine owner who leverages his business expertise to promote job creation and economic diversity as governor"
WV-II,C001047,R,Shelley Moore Capito,Infrastructure advocate and recognized moderate with two decades of experience representing West Virginia in Congress; focuses on energy development and funding for public works projects to grow the state economy
WY-I,B001261,R,John Barrasso,"Media-savvy doctor whose combination of conservative politics and targeted pragmatism allowed him to ascend the political ladder in Wyoming and Washington; as Republican Conference chair, he is one of the highest-ranking Senate Republicans "
WY-II,L000571  ,R       ,Cynthia Lummis,"Self-described deficit hawk with three decades of experience representing Wyoming at the state and federal level; advocates for a balanced budget, domestic mining, and energy production"
